gdn_prefill_qk4_v8_d128_k_last:
  Workload 77daf91d...: PASSED | 0.010 ms | 360.10x speedup | abs_err=1.64e-07, rel_err=1.43e-02
  Workload f2f01c2c...: PASSED | 0.025 ms | 1727.14x speedup | abs_err=1.19e-07, rel_err=9.53e-03
  Workload 15856e8c...: PASSED | 2.131 ms | 751.40x speedup | abs_err=7.63e-06, rel_err=3.51e-02
  Workload a39aa135...: PASSED | 0.047 ms | 1843.99x speedup | abs_err=9.54e-07, rel_err=3.53e-02
  Workload 339a7ff4...: PASSED | 0.015 ms | 1175.68x speedup | abs_err=7.30e-07, rel_err=1.25e-02
  Workload d8f4a9ae...: PASSED | 0.040 ms | 1155.86x speedup | abs_err=4.77e-07, rel_err=7.04e-03
  Workload d3dc3577...: PASSED | 0.028 ms | 1721.16x speedup | abs_err=7.15e-07, rel_err=3.25e-02
  Workload ce832e76...: PASSED | 0.324 ms | 1071.97x speedup | abs_err=6.10e-05, rel_err=4.19e-02
  Workload 6fbc155c...: PASSED | 0.508 ms | 920.68x speedup | abs_err=3.81e-06, rel_err=2.64e-02
  Workload a87ded8a...: PASSED | 1.579 ms | 1803.09x speedup | abs_err=1.22e-04, rel_err=1.68e+00
  Workload 62447caf...: PASSED | 0.025 ms | 1025.38x speedup | abs_err=1.91e-06, rel_err=3.21e-02
  Workload fd072ba6...: PASSED | 0.052 ms | 2097.59x speedup | abs_err=3.81e-06, rel_err=5.04e-02
  Workload 35ea9bbe...: PASSED | 0.054 ms | 1728.85x speedup | abs_err=7.63e-06, rel_err=3.85e-02
  Workload 1aa8cf18...: PASSED | 0.023 ms | 1232.64x speedup | abs_err=4.77e-07, rel_err=7.61e-03
  Workload d5f5c00c...: PASSED | 0.025 ms | 1260.67x speedup | abs_err=4.47e-08, rel_err=7.33e-03
  Workload d5aa60dc...: PASSED | 0.155 ms | 1071.04x speedup | abs_err=3.05e-05, rel_err=4.70e-02
  Workload 28b70283...: PASSED | 0.021 ms | 947.36x speedup | abs_err=9.54e-07, rel_err=1.48e-02
  Workload 73b8cc85...: PASSED | 0.105 ms | 766.49x speedup | abs_err=1.91e-06, rel_err=7.76e-03
  Workload 2683c087...: PASSED | 0.074 ms | 1543.29x speedup | abs_err=1.53e-05, rel_err=7.33e-02
  Workload 4b94d568...: PASSED | 0.330 ms | 1060.87x speedup | abs_err=7.63e-06, rel_err=6.22e-02
  Workload a0eb2dc2...: PASSED | 0.072 ms | 1385.67x speedup | abs_err=3.81e-06, rel_err=2.08e-02
  Workload f3d30cb9...: PASSED | 0.080 ms | 1014.22x speedup | abs_err=3.81e-06, rel_err=1.50e-01
  Workload 7a7deca8...: PASSED | 0.060 ms | 1177.59x speedup | abs_err=3.81e-06, rel_err=1.36e-02
  Workload 977d19f8...: PASSED | 0.025 ms | 1149.42x speedup | abs_err=1.91e-06, rel_err=9.09e-03
  Workload 02c1e5f0...: PASSED | 0.025 ms | 1486.77x speedup | abs_err=1.91e-06, rel_err=7.02e-03
  Workload 5a91aa02...: PASSED | 0.289 ms | 1841.85x speedup | abs_err=7.63e-06, rel_err=8.42e-02
  Workload 8e7ef744...: PASSED | 0.012 ms | 1255.45x speedup | abs_err=4.47e-08, rel_err=1.64e-02
  Workload 85d7becb...: PASSED | 0.016 ms | 1360.57x speedup | abs_err=2.24e-07, rel_err=1.08e-02
  Workload e286a4f4...: PASSED | 0.846 ms | 1191.03x speedup | abs_err=6.10e-05, rel_err=8.80e-02
  Workload 08d4f2c4...: PASSED | 0.940 ms | 927.86x speedup | abs_err=1.53e-05, rel_err=1.23e-01
  Workload 9c1ef562...: PASSED | 0.659 ms | 1013.24x speedup | abs_err=6.10e-05, rel_err=5.92e-01
  Workload bfd8f7b6...: PASSED | 0.172 ms | 1021.41x speedup | abs_err=3.81e-06, rel_err=4.85e-02
  Workload c358edcd...: PASSED | 1.469 ms | 807.37x speedup | abs_err=1.53e-05, rel_err=2.11e-02
  Workload f203fdcd...: PASSED | 0.054 ms | 696.23x speedup | abs_err=1.04e-06, rel_err=2.64e-02
  Workload 33a38713...: PASSED | 0.054 ms | 1474.48x speedup | abs_err=3.81e-06, rel_err=1.63e-02
  Workload 3a77dfec...: PASSED | 0.046 ms | 1348.61x speedup | abs_err=1.19e-07, rel_err=1.03e-02
  Workload ea27be17...: PASSED | 0.046 ms | 1630.10x speedup | abs_err=3.81e-06, rel_err=5.46e-02
  Workload 49ef89d2...: PASSED | 0.074 ms | 786.03x speedup | abs_err=4.77e-07, rel_err=7.66e-02
  Workload 056224b8...: PASSED | 0.053 ms | 1618.28x speedup | abs_err=4.77e-07, rel_err=8.59e-03
  Workload 685d26ff...: PASSED | 0.012 ms | 1393.06x speedup | abs_err=7.45e-07, rel_err=9.76e-03
  Workload 352c9ace...: PASSED | 0.395 ms | 816.93x speedup | abs_err=3.05e-05, rel_err=1.82e-01
  Workload 2c9693b4...: PASSED | 0.054 ms | 1000.76x speedup | abs_err=3.81e-06, rel_err=3.74e-02
  Workload 27f44fd6...: PASSED | 0.038 ms | 1326.39x speedup | abs_err=1.55e-06, rel_err=8.91e-03
  Workload 07aa7922...: PASSED | 6.353 ms | 693.45x speedup | abs_err=6.10e-05, rel_err=1.86e-01
  Workload eaa0fd47...: PASSED | 0.013 ms | 1082.71x speedup | abs_err=9.54e-07, rel_err=9.34e-03
  Workload f105eda8...: PASSED | 0.426 ms | 1299.76x speedup | abs_err=6.10e-05, rel_err=2.51e-01
  Workload cd979341...: PASSED | 0.047 ms | 1429.60x speedup | abs_err=3.81e-06, rel_err=3.73e-02
  Workload 43bf9699...: PASSED | 0.645 ms | 896.62x speedup | abs_err=1.53e-05, rel_err=1.33e-02
  Workload 54856fec...: PASSED | 0.660 ms | 1195.46x speedup | abs_err=6.10e-05, rel_err=2.44e-01
  Workload 2ba465c0...: PASSED | 0.019 ms | 1783.71x speedup | abs_err=2.38e-07, rel_err=2.89e-02
  Workload 1efaf2a9...: PASSED | 0.023 ms | 1959.09x speedup | abs_err=4.47e-08, rel_err=1.56e-02
  Workload a01a3f93...: PASSED | 1.524 ms | 809.67x speedup | abs_err=1.22e-04, rel_err=6.80e-01
  Workload cc241d2e...: PASSED | 0.020 ms | 898.89x speedup | abs_err=4.62e-07, rel_err=7.13e-03
